Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Artikel,Plural
Auftritt,اجرا / حضور روی صحنه,performance / appearance,Der Sänger hatte einen tollen Auftritt.,خواننده اجرای عالی داشت.,der,die Auftritte
Bergarbeiter,معدنچی,miner,Mein Opa war Bergarbeiter.,پدربزرگم معدنچی بود.,der,die Bergarbeiter
frühere,قبلی / سابق,former / previous,In früheren Zeiten war das anders.,در زمان‌های سابق اینطور متفاوت بود.,-,(Adj)
Hotelübernachtung,اقامت در هتل,hotel stay,Die Hotelübernachtung ist inklusive.,اقامت در هتل شامل می‌شود.,die,die Hotelübernachtungen
Industriegebäude,ساختمان صنعتی,industrial building,Das alte Industriegebäude steht leer.,ساختمان صنعتی قدیمی خالی است.,das,die Industriegebäude
Industriekultur,فرهنگ صنعتی,industrial culture,Das Ruhrgebiet ist bekannt für Industriekultur.,منطقه روهر به خاطر فرهنگ صنعتی معروف است.,die,-
Kohle,زغال سنگ,coal,Früher wurde hier Kohle abgebaut.,قبلاً اینجا زغال سنگ استخراج می‌شد.,die,-
Künstler,هنرمند,artist,Er ist ein bekannter Künstler.,او یک هنرمند معروف است.,der,die Künstler
Lichtkunst,هنر نورپردازی,light art,Das Museum zeigt Lichtkunst.,موزه هنر نورپردازی را نشان می‌دهد.,die,-
Musical,موزیکال,musical,Wir gehen in ein Musical.,ما به دیدن یک موزیکال می‌رویم.,das,die Musicals
Reisegutschein,بن سفر,travel voucher,Ich habe einen Reisegutschein gewonnen.,من یک بن سفر برنده شدم.,der,die Reisegutscheine
Ruhr,رودخانه روهر / منطقه روهر,Ruhr river / Ruhr area,Die Ruhr fließt durch Essen.,رودخانه روهر از اسن می‌گذرد.,die,-
Spannung,هیجان / تنش,tension / suspense,Die Spannung steigt.,هیجان بالا می‌رود.,die,-
Star,ستاره (مشهور),star,Er ist ein internationaler Star.,او یک ستاره بین‌المللی است.,der,die Stars
Superlativ,صفت عالی / اوج,superlative,Das ist ein Auto der Superlative.,این ماشینی در حد کمال است.,der,die Superlative
Zeche,معدن زغال سنگ,colliery / coal mine,Die Zeche Zollverein ist berühmt.,معدن زغال سنگ تسول‌فرین معروف است.,die,die Zechen
Zollverein,اتحادیه گمرکی (نام معدن),customs union (mine name),Wir besuchen die Zeche Zollverein.,ما از معدن تسول‌فرین بازدید می‌کنیم.,der,-
Region,منطقه,region,Die Region ist sehr schön.,منطقه بسیار زیبا است.,die,die Regionen
Ruhrgebiet,منطقه روهر,Ruhr area,Ich wohne im Ruhrgebiet.,من در منطقه روهر زندگی می‌کنیم.,das,-
Enttäuschung,ناامیدی,disappointment,Die Absage war eine große Enttäuschung.,لغو قرار ناامیدی بزرگی بود.,die,die Enttäuschungen
Skype-Chat,چت اسکایپ,Skype chat,Wir haben uns im Skype-Chat unterhalten.,ما در چت اسکایپ صحبت کردیم.,der,die Skype-Chats
Bergbaumuseum,موزه معدن,mining museum,Das Bergbaumuseum ist interessant.,موزه معدن جالب است.,das,die Bergbaumuseen
ehemalig,سابق / پیشین,former,Das ist eine ehemalige Fabrik.,این یک کارخانه سابق است.,-,(Adj)
Energieverschwendung,اتلاف انرژی,waste of energy,Das Licht anzulassen ist Energieverschwendung.,روشن گذاشتن چراغ اتلاف انرژی است.,die,-
Industriegebiet,منطقه صنعتی,industrial area,Die Firma liegt im Industriegebiet.,شرکت در منطقه صنعتی قرار دارد.,das,die Industriegebiete
meinetwegen,به خاطر من / از نظر من اشکالی ندارد,for my sake / I don't mind,Meinetwegen können wir gehen.,از نظر من اشکالی ندارد برویم.,-,(Adv)
Ruhrtalradweg,مسیر دوچرخه‌سواری دره روهر,Ruhr valley cycle path,Wir fahren den Ruhrtalradweg entlang.,ما در مسیر دوچرخه‌سواری دره روهر می‌رانیم.,der,-
Samstagabend,شنبه شب,Saturday evening,Was machst du am Samstagabend?,شنبه شب چه کار می‌کنی؟,der,die Samstagabende
sehenswert,دیدنی,worth seeing,Das Museum ist absolut sehenswert.,موزه کاملاً دیدنی است.,-,(Adj)
Skihalle,سالن اسکی سرپوشیده,indoor ski slope,Wir gehen in die Skihalle.,ما به سالن اسکی می‌رویم.,die,die Skihallen
Zugfahren,قطارسواری,train travel,Zugfahren ist entspannend.,قطارسواری آرامش‌بخش است.,das,-
worauf,بر چه چیزی / که بر آن,on what / whereupon,Worauf wartest du?,منتظر چه هستی؟,-,(Adv)
davor,قبل از آن / جلوی آن,before that / in front of it,Davor habe ich Angst.,من از آن می‌ترسم.,-,(Adv)
Pronominaladverb,قید ضمیری,pronominal adverb,„Davor“ ist ein Pronominaladverb.,«Davor» یک قید ضمیری است.,das,die Pronominaladverbien
wofür,برای چه,for what,Wofür brauchst du das Geld?,پول را برای چه می‌خواهی؟,-,(Adv)
wovon,از چه,of what / about what,Wovon träumst du?,درباره چه رویا می‌بینی؟,-,(Adv)
wovor,از چه (ترس),of what (fear),Wovor hast du Angst?,از چه می‌ترسی؟,-,(Adv)
Fernsehprogramm,برنامه تلویزیونی,TV program,Was läuft heute im Fernsehprogramm?,امروز در برنامه تلویزیونی چه پخش می‌شود؟,das,die Fernsehprogramme
enttäuschend,ناامیدکننده,disappointing,Das Ergebnis war enttäuschend.,نتیجه ناامیدکننده بود.,-,(Adj)
faszinierend,شگفت‌انگیز / جذاب,fascinating,Die Show war faszinierend.,نمایش شگفت‌انگیز بود.,-,(Adj)
Kostüm,لباس مبدل / کت و دامن,costume / suit,Dein Kostüm sieht toll aus.,لباس مبدل تو عالی به نظر می‌رسد.,das,die Kostüme
Leistung,عملکرد / بازده,performance / achievement,Gute Leistung!,عملکرد خوب!,die,die Leistungen
Lightshow,نمایش نور,light show,Die Lightshow war beeindruckend.,نمایش نور تأثیرگذار بود.,die,die Lightshows
Rollschuh,کفش اسکیت,roller skate,Ich fahre gerne Rollschuh.,من دوست دارم اسکیت‌سواری کنم.,der,die Rollschuhe
Schauspieler,بازیگر,actor,Er ist ein guter Schauspieler.,او بازیگر خوبی است.,der,die Schauspieler
vorstellen,معرفی کردن / تصور کردن,to introduce / imagine,Darf ich mich vorstellen?,اجازه هست خودم را معرفی کنم؟,-,(Verb)
Zeche-Zollverein,معدن تسول‌فرین,Zollverein Coal Mine,Die Zeche-Zollverein ist Weltkulturerbe.,معدن تسول‌فرین میراث جهانی است.,die,-
Begeisterung,شور و شوق,enthusiasm,Die Begeisterung war groß.,شور و شوق زیاد بود.,die,-
verstärken,تقویت کردن,to strengthen / reinforce,Wir müssen die Mauer verstärken.,ما باید دیوار را تقویت کنیم.,-,(Verb)
Cousin,پسرعمو / پسردایی ...,cousin (male),Mein Cousin wohnt in Berlin.,پسرعموی من در برلین زندگی می‌کند.,der,die Cousins
Enkel,نوه (پسر),grandson,Opa spielt mit seinem Enkel.,پدربزرگ با نوه‌اش بازی می‌کند.,der,die Enkel
Grillmeister,استاد کباب‌زنی,grill master,Er ist der Grillmeister heute Abend.,او امشب استاد کباب‌زنی است.,der,die Grillmeister
Lieblingsbeschäftigung,سرگرمی مورد علاقه,favorite activity,Lesen ist meine Lieblingsbeschäftigung.,خواندن سرگرمی مورد علاقه من است.,die,die Lieblingsbeschäftigungen
schwerhörig,کم‌شنوا,hard of hearing,Meine Oma ist etwas schwerhörig.,مادربزرگم کمی کم‌شنوا است.,-,(Adj)
dauernd,مداوم / دائماً,constantly,Das Telefon klingelt dauernd.,تلفن دائماً زنگ می‌زند.,-,(Adj)
aufregen,عصبانی کردن / هیجان‌زده کردن,to upset / excite,Reg dich nicht auf!,عصبانی نشو!,-,(Verb)
woran,به چه / درباره چه,about what / of what,Woran denkst du?,به چه فکر می‌کنی؟,-,(Adv)
Kioskbesitzer,صاحب دکه,kiosk owner,Der Kioskbesitzer kennt alle Nachbarn.,صاحب دکه همه همسایه‌ها را می‌شناسد.,der,die Kioskbesitzer
Zigarette,سیگار,cigarette,Er raucht eine Zigarette.,او سیگار می‌کشد.,die,die Zigaretten
Abschnitt,بخش / قسمت,section,Lies den nächsten Abschnitt.,بخش بعدی را بخوان.,der,die Abschnitte
Batterie,باتری,battery,Die Batterie ist leer.,باتری خالی است.,die,die Batterien
belegen,اثبات کردن / اشغال کردن,to prove / occupy,Können Sie das mit Zahlen belegen?,می‌توانید این را با اعداد اثبات کنید؟,-,(Verb)
Briefmarke,تمبر,stamp,Ich brauche eine Briefmarke für den Brief.,من برای نامه یک تمبر نیاز دارم.,die,die Briefmarken
Büdchen,دکه کوچک (در گویش روهر),small kiosk,Wir treffen uns am Büdchen.,ما دم دکه همدیگر را می‌بینیم.,das,die Büdchen
Bude,دکه / اتاق (محاوره),booth / shack,Er wohnt in einer kleinen Bude.,او در یک اتاق کوچک زندگی می‌کند.,die,die Buden
Feuerzeug,فندک,lighter,Hast du ein Feuerzeug?,آیا فندک داری؟,das,die Feuerzeuge
Frühschicht,شیفت صبح,early shift,Ich habe morgen Frühschicht.,من فردا شیفت صبح هستم.,die,die Frühschichten
hochdeutsch,آلمانی معیار,standard German,Bitte sprechen Sie hochdeutsch.,لطفاً آلمانی معیار صحبت کنید.,-,(Adj)
Jahrzehnt,دهه,decade,Das dauerte Jahrzehnte.,این دهه‌ها طول کشید.,das,die Jahrzehnte
Käffken,یک فنجان قهوه کوچک (محاوره),small coffee,Trinken wir ein Käffken?,یک قهوه کوچک بنوشیم؟,das,-
Kaugummi,آدامس,chewing gum,Kaugummi kauen ist im Unterricht verboten.,آدامس جویدن در کلاس ممنوع است.,der,die Kaugummis
Ketchup,سس کچاپ,ketchup,Ich esse Pommes mit Ketchup.,من سیب‌زمینی سرخ‌کرده را با کچاپ می‌خورم.,der,-
Kohlenpott,منطقه زغال سنگ (روهر),coal pot (Ruhr area),Ich komme aus dem Kohlenpott.,من اهل منطقه زغال سنگ هستم.,der,-
Lädchen,مغازه کوچک,small shop,Das ist ein süßes Lädchen.,این یک مغازه کوچک بامزه است.,das,die Lädchen
Lieblingsverein,باشگاه مورد علاقه,favorite club,Schalke ist mein Lieblingsverein.,شالکه باشگاه مورد علاقه من است.,der,die Lieblingsvereine
Maloche,کار سخت (محاوره روهر),hard work,Nach der Maloche gehe ich nach Hause.,بعد از کار سخت به خانه می‌روم.,die,-
Mayonnaise,سس مایونز,mayonnaise,Pommes mit Mayonnaise schmecken gut.,سیب‌زمینی با مایونز خوشمزه است.,die,-
Morgenzeitung,روزنامه صبح,morning paper,Ich lese die Morgenzeitung beim Frühstück.,من روزنامه صبح را هنگام صبحانه می‌خوانم.,die,die Morgenzeitungen
Nachrichtenbörse,محل تبادل اخبار (پاتوق),news exchange,Der Kiosk ist die Nachrichtenbörse im Viertel.,دکه محل تبادل اخبار در محله است.,die,die Nachrichtenbörsen
regional,منطقه‌ای,regional,Wir kaufen regionale Produkte.,ما محصولات منطقه‌ای می‌خریم.,-,(Adj)
rot-weiß,قرمز-سفید (کچاپ و مایونز),red and white,Einmal Pommes rot-weiß, bitte.,یک سیب‌زمینی با کچاپ و سس سفید، لطفاً.,-,(Phrase)
Ruhrpott-Deutsch,گویش منطقه روهر,Ruhrpott German,Er spricht Ruhrpott-Deutsch.,او با گویش منطقه روهر صحبت می‌کند.,das,-
Schulheft,دفتر مشق,exercise book,Schreib das ins Schulheft.,این را در دفتر مشق بنویس.,das,die Schulhefte
Seife,صابون,soap,Wasch dir die Hände mit Seife.,دست‌هایت را با صابون بشوی.,die,die Seifen
Stammkunde,مشتری ثابت,regular customer,Er ist Stammkunde in dieser Kneipe.,او مشتری ثابت این کافه است.,der,die Stammkunden
Streichholz,کبریت,match,Das Streichholz ist abgebrochen.,کبریت شکست.,das,die Streichhölzer
Süßigkeit,شیرینی / تنقلات شیرین,sweet / candy,Kinder mögen Süßigkeiten.,بچه‌ها شیرینی دوست دارند.,die,die Süßigkeiten
Tankstellenshop,فروشگاه پمپ بنزین,gas station shop,Der Tankstellenshop hat immer offen.,فروشگاه پمپ بنزین همیشه باز است.,der,die Tankstellenshops
Trinkhalle,دکه نوشیدنی‌فروشی,drink hall / kiosk,Wir holen uns ein Bier an der Trinkhalle.,ما از دکه یک آبجو می‌گیریم.,die,die Trinkhallen
vergangen,گذشته,past,In der vergangenen Woche war ich krank.,هفته گذشته بیمار بودم.,-,(Adj)
Wasserhäuschen,دکه آب‌فروشی (فرانکفورت),water house (kiosk),Wir treffen uns am Wasserhäuschen.,ما دم دکه آب‌فروشی همدیگر را می‌بینیم.,das,die Wasserhäuschen
zugleich,همزمان / در عین حال,at the same time,Es war schön und anstrengend zugleich.,همزمان زیبا و خسته‌کننده بود.,-,(Adv)
Kursort,محل برگزاری دوره,course location,Der Kursort ist in der Stadtmitte.,محل برگزاری دوره در مرکز شهر است.,der,die Kursorte
Gegenvorschlag,پیشنهاد متقابل,counter-proposal,Haben Sie einen Gegenvorschlag?,آیا پیشنهاد متقابلی دارید؟,der,die Gegenvorschläge
Samstagnachmittag,شنبه بعدازظهر,Saturday afternoon,Am Samstagnachmittag gehe ich einkaufen.,شنبه بعدازظهر به خرید می‌روم.,der,die Samstagnachmittage
Freitagvormittag,جمعه قبل از ظهر,Friday morning,Am Freitagvormittag habe ich einen Termin.,جمعه قبل از ظهر یک قرار دارم.,der,die Freitagvormittage
Amtssprache,زبان رسمی,official language,Deutsch ist eine Amtssprache in der Schweiz.,آلمانی یک زبان رسمی در سوئیس است.,die,die Amtssprachen
etwa,حدوداً / آیا (در سوال),about / perhaps,Es waren etwa 100 Leute da.,حدوداً ۱۰۰ نفر آنجا بودند.,-,(Adv)
grenzen,هم‌مرز بودن,to border,Deutschland grenzt an neun Länder.,آلمان با نه کشور هم‌مرز است.,-,(Verb)
Hauptstadt,پایتخت,capital city,Bern ist die Hauptstadt der Schweiz.,برن پایتخت سوئیس است.,die,die Hauptstädte
Kanton,ایالت (در سوئیس),canton,Zürich ist ein Kanton.,زوریخ یک کانتون است.,der,die Kantone
Provinz,استان / شهرستان,province,Er kommt aus der Provinz.,او اهل شهرستان است.,die,die Provinzen
Landeskennzeichen,کد شناسایی کشور,country code,Das Landeskennzeichen für Deutschland ist D.,کد شناسایی کشور برای آلمان D است.,das,die Landeskennzeichen
Nachbarland,کشور همسایه,neighboring country,Frankreich ist ein Nachbarland.,فرانسه یک کشور همسایه است.,das,die Nachbarländer
Parlament,پارلمان / مجلس,parliament,Das Parlament beschließt Gesetze.,پارلمان قوانین را تصویب می‌کند.,das,die Parlamente
politisch,سیاسی,political,Ich bin politisch interessiert.,من به سیاست علاقه‌مندم.,-,(Adj)
Tourismus,گردشگری,tourism,Der Tourismus ist wichtig für die Wirtschaft.,گردشگری برای اقتصاد مهم است.,der,-
überprüfen,بررسی کردن,to check / verify,Bitte überprüfen Sie die Rechnung.,لطفاً صورتحساب را بررسی کنید.,-,(Verb)
Kondukteur,کنترلی قطار (در سوئیس),conductor (Swiss),Der Kondukteur kontrolliert die Fahrkarten.,کنترلی بلیط‌ها را چک می‌کند.,der,die Kondukteure
Moped,موتور گازی,moped,Er fährt mit dem Moped zur Schule.,او با موتور گازی به مدرسه می‌رود.,das,die Mopeds
Reiseleiter,راهنمای تور,tour guide,Der Reiseleiter erklärt die Sehenswürdigkeiten.,راهنمای تور دیدنی‌ها را توضیح می‌دهد.,der,die Reiseleiter
Schaffner,کنترلی قطار,conductor,Der Schaffner pfeift.,کنترلی سوت می‌زند.,der,die Schaffner
Schweizerdeutsch,آلمانی سوئیسی,Swiss German,Ich verstehe kein Schweizerdeutsch.,من آلمانی سوئیسی نمی‌فهمم.,das,-
viereckig,چهارگوش / مربعی,square / quadrangular,Der Tisch ist viereckig.,میز چهارگوش است.,-,(Adj)
Quizfrage,سوال مسابقه,quiz question,Das ist eine schwere Quizfrage.,این یک سوال مسابقه سخت است.,die,die Quizfragen
Altstadtführung,تور بافت قدیم شهر,old town tour,Die Altstadtführung war sehr informativ.,تور بافت قدیم شهر بسیار آموزنده بود.,die,die Altstadtführungen
Bergtour,تور کوهنوردی,mountain tour,Die Bergtour war anstrengend.,تور کوهنوردی خسته‌کننده بود.,die,die Bergtouren
Geschnetzelte,خوراک گوشت خردشده,sliced meat dish,Zürcher Geschnetzelte schmeckt lecker.,خوراک گوشت زوریخی خوشمزه است.,das,-
Mitbringsel,سوغاتی کوچک,souvenir / small gift,Das ist ein kleines Mitbringsel.,این یک سوغاتی کوچک است.,das,die Mitbringsel
Rösti,رستی (غذای سوئیسی),hash browns (Swiss),Ich esse gerne Rösti.,من رستی دوست دارم.,das,die Röstis
Rucksack,کوله پشتی,backpack,Mein Rucksack ist schwer.,کوله پشتی من سنگین است.,der,die Rucksäcke
Taschenmesser,چاقوی جیبی,pocket knife,Das Schweizer Taschenmesser ist praktisch.,چاقوی جیبی سوئیسی کاربردی است.,das,die Taschenmesser
Uhrenmuseum,موزه ساعت,clock museum,Wir besuchen das Uhrenmuseum.,ما از موزه ساعت بازدید می‌کنیم.,das,die Uhrenmuseen
Wanderurlaub,تعطیلات پیاده‌روی,hiking holiday,Wir machen einen Wanderurlaub in den Alpen.,ما یک تعطیلات پیاده‌روی در آلپ داریم.,der,die Wanderurlaube
erweitern,گسترش دادن,to expand,Wir wollen unser Geschäft erweitern.,ما می‌خواهیم کارمان را گسترش دهیم.,-,(Verb)
Ortsangabe,قید مکان,place indication,Die Ortsangabe steht am Ende.,قید مکان در انتها می‌آید.,die,die Ortsangaben
Satzstellung,ترتیب کلمات در جمله,word order,Achte auf die Satzstellung.,به ترتیب کلمات دقت کن.,die,die Satzstellungen
Anbau (Gebäude),ساختمان الحاقی,extension (building),Der Anbau ist neu.,ساختمان الحاقی جدید است.,der,die Anbauten
Arbeitsagentur,اداره کاریابی,employment agency,Ich muss zur Arbeitsagentur.,من باید به اداره کاریابی بروم.,die,die Arbeitsagenturen
Brauerei,کارخانه آبجوسازی,brewery,Wir besichtigen eine Brauerei.,ما از یک کارخانه آبجوسازی بازدید می‌کنیم.,die,die Brauereien
Gruppenaktivität,فعالیت گروهی,group activity,Wir planen eine Gruppenaktivität.,ما یک فعالیت گروهی برنامه‌ریزی می‌کنیم.,die,die Gruppenaktivitäten
Industrieanlage,تأسیسات صنعتی,industrial plant,Die Industrieanlage ist stillgelegt.,تأسیسات صنعتی تعطیل شده است.,die,die Industrieanlagen
Intro,مقدمه / شروع,intro,Das Intro des Liedes ist lang.,مقدمه آهنگ طولانی است.,das,die Intros
jeweils,هر کدام,each,Die Karten kosten jeweils 5 Euro.,کارت‌ها هر کدام ۵ یورو هستند.,-,(Adv)
Jugendgruppe,گروه جوانان,youth group,Die Jugendgruppe trifft sich freitags.,گروه جوانان جمعه‌ها جلسه دارد.,die,die Jugendgruppen
Jugendtheater,تئاتر نوجوانان,youth theater,Das Jugendtheater führt ein Stück auf.,تئاتر نوجوانان نمایشی اجرا می‌کند.,das,-
Kulturzentrum,مرکز فرهنگی,cultural center,Im Kulturzentrum gibt es Konzerte.,در مرکز فرهنگی کنسرت برگزار می‌شود.,das,die Kulturzentren
Mini-Zoo,باغ‌وحش کوچک,petting zoo / mini zoo,Kinder lieben den Mini-Zoo.,بچه‌ها عاشق باغ‌وحش کوچک هستند.,der,die Mini-Zoos
Musikschule,مدرسه موسیقی,music school,Sie geht in die Musikschule.,او به مدرسه موسیقی می‌رود.,die,die Musikschulen
Pflanzenart,گونه گیاهی,plant species,Diese Pflanzenart ist selten.,این گونه گیاهی کمیاب است.,die,die Pflanzenarten
Rohr,لوله,pipe,Das Rohr ist verstopft.,لوله گرفته است.,das,die Rohre
Ruhrtalsingen,آوازخوانی در دره روهر,Ruhr valley singing,Das Ruhrtalsingen ist ein Event.,آوازخوانی در دره روهر یک رویداد است.,das,-
selten,کمیاب / به ندرت,rare / rarely,Das ist ein seltenes Tier.,این یک حیوان کمیاب است.,-,(Adj)
Strom-Spar-Aktion,کمپین صرفه‌جویی برق,electricity saving campaign,Mach mit bei der Strom-Spar-Aktion.,در کمپین صرفه‌جویی برق شرکت کن.,die,die Strom-Spar-Aktionen
Stromsparberater,مشاور صرفه‌جویی برق,energy saving consultant,Der Stromsparberater gibt Tipps.,مشاور صرفه‌جویی برق نکاتی می‌دهد.,der,die Stromsparberater
Stromverbrauch,مصرف برق,power consumption,Der Stromverbrauch ist zu hoch.,مصرف برق خیلی بالا است.,der,-
Tierart,گونه جانوری,animal species,Wir müssen bedrohte Tierarten schützen.,ما باید از گونه‌های جانوری در خطر انقراض محافظت کنیم.,die,die Tierarten
veranstalten,برگزار کردن,to organize / host,Wir veranstalten ein Fest.,ما یک جشن برگزار می‌کنیم.,-,(Verb)
Abholung,جمع‌آوری / برداشتن,pickup / collection,Die Abholung ist um 14 Uhr.,برداشتن (تحویل گرفتن) ساعت ۱۴ است.,die,die Abholungen
aufladen,شارژ کردن / بار زدن,to charge / load,Ich muss mein Handy aufladen.,من باید موبایلم را شارژ کنم.,-,(Verb)
bereitstehen,آماده بودن / در دسترس بودن,to be ready / available,Das Auto steht bereit.,ماشین آماده است.,-,(Verb)
jederzeit,هر زمان,any time,Sie können mich jederzeit anrufen.,شما می‌توانید هر زمان با من تماس بگیرید.,-,(Adv)
Kundenbetreuung,پشتیبانی مشتری,customer care,Die Kundenbetreuung ist sehr freundlich.,پشتیبانی مشتری بسیار دوستانه است.,die,-
Parkstation,ایستگاه پارکینگ,parking station,Das Auto steht an der Parkstation.,ماشین در ایستگاه پارکینگ است.,die,die Parkstationen
Diskussionssendung,برنامه گفتگو محور,discussion program,Ich sehe gerne Diskussionssendungen.,من دوست دارم برنامه‌های گفتگو محور ببینم.,die,die Diskussionssendungen
Meinungsäußerung,ابراز عقیده,expression of opinion,Das ist meine freie Meinungsäußerung.,این ابراز عقیده آزاد من است.,die,die Meinungsäußerungen
Online-Gästebuch,دفتر یادبود آنلاین,online guestbook,Schreiben Sie ins Online-Gästebuch.,در دفتر یادبود آنلاین بنویسید.,das,die Online-Gästebücher
