Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
englischsprachig,انگلیسی‌زبان,English-speaking,Das Buch ist englischsprachig.,این کتاب انگلیسی است.,Neutral,,-,(Adj)
illegal,غیرقانونی,illegal,Das Parken hier ist illegal.,پارک کردن اینجا غیرقانونی است.,Neutral,,-,(Adj)
Kanada,کانادا,Canada,Meine Tante wohnt in Kanada.,خاله من در کانادا زندگی می‌کند.,Neutral,,das,-
Staat,دولت / کشور,state,Der Staat unterstützt Familien.,دولت از خانواده‌ها حمایت می‌کند.,Neutral,,der,die Staaten
kontra,مخالف / علیه,against / contra,Ich bin kontra diesen Vorschlag.,من مخالف این پیشنهاد هستم.,Neutral,,-,(Präp/Adv)
Einbürgerungstest,آزمون تابعیت,naturalization test,Man muss den Einbürgerungstest bestehen.,باید در آزمون تابعیت قبول شد.,Neutral,,der,die Einbürgerungstests
Nordsee,دریای شمال,North Sea,Wir fahren an die Nordsee.,ما به دریای شمال می‌رویم.,Neutral,,die,-
Antragsformular,فرم درخواست,application form,Bitte füllen Sie das Antragsformular aus.,لطفاً فرم درخواست را پر کنید.,Neutral,,das,die Antragsformulare
Reisemöglichkeit,امکان سفر,travel opportunity,Es gibt viele Reisemöglichkeiten.,امکانات سفر زیادی وجود دارد.,Neutral,,die,die Reisemöglichkeiten
Wahlrecht,حق رای,right to vote,Das Wahlrecht ist wichtig.,حق رای مهم است.,Neutral,,das,die Wahlrechte
fest (Stelle),ثابت (شغل),permanent (job),Sie hat eine feste Stelle gefunden.,او یک شغل ثابت پیدا کرده است.,Neutral,,-,(Adj)
solange,تا زمانی که,as long as,Solange du krank bist, bleibst du im Bett.,تا زمانی که بیماری، در تخت می‌مانی.,Neutral,,-,(Konj)
Türke,ترک (ملیت),Turk,Er ist Türke.,او ترک است.,Neutral,,der,die Türken
unbefristet,نامحدود / دائم,permanent / unlimited,Der Vertrag ist unbefristet.,قرارداد نامحدود (دائمی) است.,Neutral,,-,(Adj)
völlig,کاملاً,completely,Das ist völlig egal.,این کاملاً بیهوده (بی‌اهمیت) است.,Neutral,,-,(Adj)
abstimmen (sich),هماهنگ کردن,to coordinate,Wir müssen uns noch abstimmen.,ما باید هنوز هماهنگ کنیم.,Neutral,mit + D,,-
erst mal,فعلاً / اول,first of all / for now,Ich trinke erst mal einen Kaffee.,من اول یک قهوه می‌نوشم.,Neutral,,-,(Adv)
Monatsabschluss,گزارش ماهانه / تراز ماه,monthly closing,Der Buchhalter macht den Monatsabschluss.,حسابدار گزارش ماهانه را انجام می‌دهد.,Neutral,,der,die Monatsabschlüsse
wenn’s (wenn es),اگر,if it,Wenn's sein muss, mache ich es.,اگر لازم باشد، انجامش می‌دهم.,Neutral,,-,(Abkürzung)
emotional,احساسی,emotional,Er reagierte sehr emotional.,او بسیار احساسی واکنش نشان داد.,Neutral,,-,(Adj)
Einverständniserklärung,رضایت‌نامه,declaration of consent,Unterschreiben Sie bitte die Einverständniserklärung.,لطفاً رضایت‌نامه را امضا کنید.,Neutral,,die,die Einverständniserklärungen
Familienbuch,دفترچه خانواده (شناسنامه),family register book,Das Familienbuch ist ein wichtiges Dokument.,دفترچه خانواده یک سند مهم است.,Neutral,,das,die Familienbücher
Geburtsurkunde,گواهی تولد,birth certificate,Ich brauche eine Kopie der Geburtsurkunde.,من به یک کپی از گواهی تولد نیاز دارم.,Neutral,,die,die Geburtsurkunden
Gesetz,قانون,law,Wir müssen das Gesetz befolgen.,ما باید از قانون پیروی کنیم.,Neutral,,das,die Gesetze
Kopie,کپی,copy,Kannst du mir eine Kopie machen?,می‌توانی برایم یک کپی بگیری؟,Neutral,,die,die Kopien
Kriminalpolizei,پلیس جنایی,criminal investigation department,Die Kriminalpolizei ermittelt den Fall.,پلیس جنایی پرونده را بررسی می‌کند.,Neutral,,die,-
Nachweis,مدرک / گواهی / اثبات,proof / evidence,Haben Sie einen Nachweis für die Zahlung?,آیا مدرکی برای پرداخت دارید؟,Neutral,,der,die Nachweise
Grammatikkasten,کادر گرامر,grammar box,Lies den Grammatikkasten auf Seite 12.,کادر گرامر صفحه ۱۲ را بخوان.,Neutral,,der,die Grammatikkästen
abstehend,بیرون‌زده / برجسته,protruding,Er hat abstehende Ohren.,او گوش‌های برجسته (بلبله) دارد.,Neutral,,-,(Adj)
Gesicht,صورت / چهره,face,Sie hat ein freundliches Gesicht.,او صورت مهربانی دارد.,Neutral,,das,die Gesichter
Kopierer,دستگاه کپی,copier,Der Kopierer im Büro ist kaputt.,دستگاه کپی دفتر خراب است.,Neutral,,der,die Kopierer
lachend,خندان,laughing,Sie kam lachend herein.,او خندان وارد شد.,Neutral,,-,(Adj/Partizip)
ticken,تیک‌تاک کردن / فکر کردن (مجازی),to tick / think,Ich weiß nicht, wie er tickt.,نمی‌دانم او چطور فکر می‌کند (فازش چیست).,Neutral,,-,(Verb)
ausgebildet,آموزش‌دیده / متخصص,trained / educated,Sie ist gut ausgebildet.,او به خوبی آموزش دیده است.,Neutral,,-,(Adj)
ausbilden,آموزش دادن (شغلی),to train / educate,Wir bilden Lehrlinge aus.,ما کارآموزان را آموزش می‌دهیم.,Neutral,,-,(Verb)
befristen,محدود کردن زمانی,to limit in time,Der Arbeitsvertrag ist befristet.,قرارداد کاری محدود (موقت) است.,Neutral,,-,(Verb)
Probezeit,دوره آزمایشی,probationary period,Die Probezeit dauert drei Monate.,دوره آزمایشی سه ماه طول می‌کشد.,Neutral,,die,die Probezeiten
Ansprache,سخنرانی / نطق,address / speech,Der Bürgermeister hielt eine Ansprache.,شهردار یک سخنرانی ایراد کرد.,Neutral,,die,die Ansprachen
Bläserkapelle,گروه نوازندگان سازهای بادی,brass band,Die Bläserkapelle spielt festliche Musik.,گروه سازهای بادی موسیقی جشن می‌نوازد.,Neutral,,die,die Bläserkapellen
Einbürgerungsurkunde,سند تابعیت,naturalization certificate,Hier ist Ihre Einbürgerungsurkunde.,این سند تابعیت شماست.,Neutral,,die,die Einbürgerungsurkunden
Einwanderung,مهاجرت (به داخل),immigration,Die Einwanderung hat zugenommen.,مهاجرت افزایش یافته است.,Neutral,,die,die Einwanderungen
feierlich,رسمی / باشکوه,solemn / festive,Es war eine feierliche Stimmung.,فضایی رسمی و باشکوه بود.,Neutral,,-,(Adj)
Freiheit,آزادی,freedom,Freiheit ist ein wichtiges Gut.,آزادی یک دارایی مهم است.,Neutral,,die,die Freiheiten
Frieden,صلح / آرامش,peace,Wir hoffen auf Frieden in der Welt.,ما به صلح در جهان امیدواریم.,Neutral,,der,-
gelingen,موفق شدن / خوب از آب درآمدن,to succeed,Der Kuchen ist mir gelungen.,کیک من خوب شد (در پختش موفق شدم).,Neutral,,-,(Verb)
geprägt,شکل‌گرفته / تحت تأثیر,shaped / influenced,Er ist von seiner Heimat geprägt.,او تحت تأثیر زادگاهش شکل گرفته است.,Neutral,,-,(Adj/Partizip)
Grundgesetz,قانون اساسی,Basic Law / Constitution,Das Grundgesetz garantiert die Menschenrechte.,قانون اساسی حقوق بشر را تضمین می‌کند.,Neutral,,das,die Grundgesetze
Migrant,مهاجر,migrant,Viele Migranten lernen Deutsch.,بسیاری از مهاجران آلمانی یاد می‌گیرند.,Neutral,,der,die Migranten
musikalisch,موسیقایی / با استعداد موسیقی,musical,Sie ist sehr musikalisch.,او بسیار استعداد موسیقی دارد.,Neutral,,-,(Adj)
Nation,ملت,nation,Die ganze Nation feierte den Sieg.,تمام ملت پیروزی را جشن گرفتند.,Neutral,,die,die Nationen
Sichtweise,دیدگاه / نگرش,viewpoint / perspective,Das ist eine interessante Sichtweise.,این یک دیدگاه جالب است.,Neutral,,die,die Sichtweisen
Überreichung,اهدا / تقدیم,presentation / handing over,Die Überreichung der Preise findet morgen statt.,اهدای جوایز فردا برگزار می‌شود.,Neutral,,die,die Überreichungen
Zeichen,علامت / نشانه,sign,Das ist ein gutes Zeichen.,این نشانه خوبی است.,Neutral,,das,die Zeichen
zurückliegend,گذشته / سپری شده,past / previous,Das zurückliegende Jahr war erfolgreich.,سال گذشته موفقیت‌آمیز بود.,Neutral,,-,(Adj)
Anliegen,درخواست / خواسته,concern / request,Was ist Ihr Anliegen?,درخواست شما چیست؟,Neutral,,das,die Anliegen
herausfinden,پی بردن / کشف کردن,to find out,Ich muss die Adresse herausfinden.,من باید آدرس را پیدا کنم.,Neutral,,-,(Verb)
Kontaktdaten,اطلاعات تماس,contact details,Bitte hinterlassen Sie Ihre Kontaktdaten.,لطفاً اطلاعات تماس خود را بگذارید.,Neutral,,die (Pl.),-
Plenum,جلسه عمومی,plenary session,Wir besprechen das im Plenum.,ما این را در جلسه عمومی بحث می‌کنیم.,Neutral,,das,die Plenen
vergeben,بخشیدن / واگذار کردن,to forgive / to award,Ich habe ihm vergeben.,من او را بخشیدم.,Neutral,,-,(Verb)

